rcjs.rcjs.home_pagetitle,Rentcars Car Hire. The largest portalde locações de carros do Brasil
rcjs.returnHomePage,Return to home page
rcrest.home.bestpriceguarResume,Best Price!
rcrest.home.onlinebooking,Reservas Online
rcrest.home.rentcars_in_p,Car rental in
rcsite.common.homepage,Go to the home page
rcsite.home.5offinbillet,5% Discount<br> on Additional Boleto
rcsite.home.7days,"7 days, from"
rcsite.home.aboutus,About us
rcsite.home.accessyraccount,Access your account
rcsite.home.advrentcars,Rentcars Advantages
rcsite.home.affiliatesrentcars,Affiliates Rentcars.com
rcsite.home.appboxtop_apprentcars_title,App Rentcars.com para iPhonegrátis.
rcsite.home.apprentcars,Rentcars.com application
rcsite.home.apprentcars_android,App Rentcars.com is free for Android
rcsite.home.apprentcars_iphone,App Rentcars.com para iPhone
rcsite.home.authorizingoffers,Authorizing the sending of the best
rcsite.home.banner_discountedoff,At <strong> 60% cheaper! </ Strong>
rcsite.home.banner_discountedoff1,All 60% of
rcsite.home.banner_discountedoff2,discount
rcsite.home.banner_discountedoffdetail,"Our discount is based on the balcony rate�o da locadora s/ desconto, ou seja, é comparado com o preço praticado nas lojas físicas."
rcsite.home.banner_discountedoffint,<strong> 5% off </ strong> on Ticket
rcsite.home.banner_discountedoffintdetail,Exclusive discount for international bookings. See payment conditions when issuing your reservation online.
rcsite.home.banner_discountedoff_text,Car rental with up to 60% discount in major cities and airports worldwide.
